id,code,name,family,general_material_id,classification_kind,flow_scope,tracks_patio_stock,allows_direct_entry,allows_transformation_output,allows_sale,is_active,sort_order,notes,created_at,updated_at
8f857305-3fa3-4acb-aa2c-662c502c6888,ALUMINIO_BLANDO,"ALUMINIO BLANDO",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,50,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
e127afec-99b6-4811-93b5-922283597874,ALUMINIO,ALUMINIO,metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,40,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
98a2cebd-2379-497d-929b-f0987811a65e,ALAMBRE_DE_ALUMINIO,"ALAMBRE DE ALUMINIO",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,30,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
121e0d63-4a6d-4d85-9149-2d030a83a396,ACERO_CON_PINTURA,"ACERO CON PINTURA",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,20,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
f02ca705-fbb1-47bc-9df7-3abb656f83f1,ACERO,ACERO,metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,10,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
195446b5-559a-411b-806e-ed5bf4e354f5,UNICEL,UNICEL,polymer,6a15cf8a-9064-49a4-8795-946591fee553,classified_stock,BOTH,t,t,t,t,t,670,"Clasificacion comercial de plastico","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
4c4352b6-79a1-4140-9d70-e3587a5753f4,PLASTICO_MIXTO,"PLASTICO MIXTO",polymer,6a15cf8a-9064-49a4-8795-946591fee553,classified_stock,BOTH,t,t,t,t,t,500,"Clasificacion comercial de plastico","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
821c5ff2-6467-47bf-8e95-a930d4cab1b1,MANGUERA,MANGUERA,polymer,6a15cf8a-9064-49a4-8795-946591fee553,classified_stock,BOTH,t,t,t,t,t,320,"Clasificacion comercial de plastico","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
918b937e-b3df-4961-9cf5-c795be5e8d05,BOLSA,BOLSA,polymer,6a15cf8a-9064-49a4-8795-946591fee553,classified_stock,BOTH,t,t,t,t,t,130,"Clasificacion comercial de plastico","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
adccf361-fb3e-4f86-aaa8-10088f61ddef,TARIMA,TARIMA,other,ecc6f380-5996-43ba-87b1-d751882974d8,classified_stock,BOTH,t,t,t,t,t,640,"Clasificacion comercial de madera","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
5804543e-5d39-4f74-8db6-1f7e12796af6,PEDACERA,PEDACERA,other,ecc6f380-5996-43ba-87b1-d751882974d8,classified_stock,BOTH,t,t,t,t,t,430,"Clasificacion comercial de madera","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
9e83f326-e9d8-4fed-be69-0e64e086813f,LENA,LENA,other,ecc6f380-5996-43ba-87b1-d751882974d8,classified_stock,BOTH,t,t,t,t,t,270,"Clasificacion comercial de madera","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
8523cd01-4642-4510-bb08-2dd38f6c102c,PAPEL_REVUELTO,"PAPEL REVUELTO",fiber,97e156d5-3719-4083-885c-e6a25af94015,classified_stock,BOTH,t,t,t,t,t,420,"Clasificacion comercial de papel","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
8a7e8bd7-75d2-46e7-945f-df1622da0e08,MAGAZINE,MAGAZINE,fiber,97e156d5-3719-4083-885c-e6a25af94015,classified_stock,BOTH,t,t,t,t,t,310,"Clasificacion comercial de papel","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
17f7ef4a-641c-4e43-9d2b-07300a27c3d0,LIBRO,LIBRO,fiber,97e156d5-3719-4083-885c-e6a25af94015,classified_stock,BOTH,t,t,t,t,t,280,"Clasificacion comercial de papel","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
f1e47773-d068-4073-a316-2da1a43a4187,FOLLETO,FOLLETO,fiber,97e156d5-3719-4083-885c-e6a25af94015,classified_stock,BOTH,t,t,t,t,t,250,"Clasificacion comercial de papel","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
1d475e15-b91d-40d5-b7ee-700ae9ea06f6,COLOR,COLOR,fiber,97e156d5-3719-4083-885c-e6a25af94015,classified_stock,BOTH,t,t,t,t,t,230,"Clasificacion comercial de papel","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
4357eeec-33aa-4236-981d-3afbbf2cffd9,BLANCO_SELECCION,"BLANCO SELECCION",fiber,97e156d5-3719-4083-885c-e6a25af94015,classified_stock,BOTH,t,t,t,t,t,120,"Clasificacion comercial de papel","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
6f1b9b8d-7fc2-4bc6-a0ed-30ee51069ec6,ARCHIVO,ARCHIVO,fiber,97e156d5-3719-4083-885c-e6a25af94015,classified_stock,BOTH,t,t,t,t,t,100,"Clasificacion comercial de papel","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
8848d076-f6e4-4d8a-9af1-42fae1d39688,PACA_DE_PAPEL,"PACA DE PAPEL",other,97e156d5-3719-4083-885c-e6a25af94015,classified_stock,BOTH,t,t,t,t,t,100,,"2026-03-20 01:53:34.089443+00","2026-03-20 01:53:34.089443+00"
9233fa67-f604-4643-82c1-cc7351457a8e,RETORNO_INDUSTRIAL_ALTO_RES,"RETORNO INDUSTRIAL ALTO RESIDUAL",metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,580,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-20 02:45:10.051454+00"
