allows_direct_entry,allows_sale,allows_transformation_output,classification_kind,code,created_at,family,flow_scope,general_material_id,id,is_active,name,notes,sort_order,tracks_patio_stock,updated_at
True,True,True,classified_stock,ACERO_CON_PINTURA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,121e0d63-4a6d-4d85-9149-2d030a83a396,True,ACERO CON PINTURA,Clasificacion comercial de metal,20,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,ACERO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,f02ca705-fbb1-47bc-9df7-3abb656f83f1,True,ACERO,Clasificacion comercial de metal,10,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,UNICEL,2026-03-13T19:39:38.720229+00:00,polymer,BOTH,6a15cf8a-9064-49a4-8795-946591fee553,195446b5-559a-411b-806e-ed5bf4e354f5,True,UNICEL,Clasificacion comercial de plastico,670,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PLASTICO_MIXTO,2026-03-13T19:39:38.720229+00:00,polymer,BOTH,6a15cf8a-9064-49a4-8795-946591fee553,4c4352b6-79a1-4140-9d70-e3587a5753f4,True,PLASTICO MIXTO,Clasificacion comercial de plastico,500,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,MANGUERA,2026-03-13T19:39:38.720229+00:00,polymer,BOTH,6a15cf8a-9064-49a4-8795-946591fee553,821c5ff2-6467-47bf-8e95-a930d4cab1b1,True,MANGUERA,Clasificacion comercial de plastico,320,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,BOLSA,2026-03-13T19:39:38.720229+00:00,polymer,BOTH,6a15cf8a-9064-49a4-8795-946591fee553,918b937e-b3df-4961-9cf5-c795be5e8d05,True,BOLSA,Clasificacion comercial de plastico,130,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,TARIMA,2026-03-13T19:39:38.720229+00:00,other,BOTH,ecc6f380-5996-43ba-87b1-d751882974d8,adccf361-fb3e-4f86-aaa8-10088f61ddef,True,TARIMA,Clasificacion comercial de madera,640,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PEDACERA,2026-03-13T19:39:38.720229+00:00,other,BOTH,ecc6f380-5996-43ba-87b1-d751882974d8,5804543e-5d39-4f74-8db6-1f7e12796af6,True,PEDACERA,Clasificacion comercial de madera,430,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,LENA,2026-03-13T19:39:38.720229+00:00,other,BOTH,ecc6f380-5996-43ba-87b1-d751882974d8,9e83f326-e9d8-4fed-be69-0e64e086813f,True,LENA,Clasificacion comercial de madera,270,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PAPEL_REVUELTO,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,97e156d5-3719-4083-885c-e6a25af94015,8523cd01-4642-4510-bb08-2dd38f6c102c,True,PAPEL REVUELTO,Clasificacion comercial de papel,420,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,MAGAZINE,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,97e156d5-3719-4083-885c-e6a25af94015,8a7e8bd7-75d2-46e7-945f-df1622da0e08,True,MAGAZINE,Clasificacion comercial de papel,310,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,LIBRO,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,97e156d5-3719-4083-885c-e6a25af94015,17f7ef4a-641c-4e43-9d2b-07300a27c3d0,True,LIBRO,Clasificacion comercial de papel,280,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,FOLLETO,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,97e156d5-3719-4083-885c-e6a25af94015,f1e47773-d068-4073-a316-2da1a43a4187,True,FOLLETO,Clasificacion comercial de papel,250,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,COLOR,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,97e156d5-3719-4083-885c-e6a25af94015,1d475e15-b91d-40d5-b7ee-700ae9ea06f6,True,COLOR,Clasificacion comercial de papel,230,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,BLANCO_SELECCION,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,97e156d5-3719-4083-885c-e6a25af94015,4357eeec-33aa-4236-981d-3afbbf2cffd9,True,BLANCO SELECCION,Clasificacion comercial de papel,120,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,ARCHIVO,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,97e156d5-3719-4083-885c-e6a25af94015,6f1b9b8d-7fc2-4bc6-a0ed-30ee51069ec6,True,ARCHIVO,Clasificacion comercial de papel,100,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PACA_DE_PAPEL,2026-03-20T01:53:34.089443+00:00,other,BOTH,97e156d5-3719-4083-885c-e6a25af94015,8848d076-f6e4-4d8a-9af1-42fae1d39688,True,PACA DE PAPEL,,100,True,2026-03-20T01:53:34.089443+00:00
True,True,True,classified_stock,RETORNO_INDUSTRIAL_ALTO_RES,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,9233fa67-f604-4643-82c1-cc7351457a8e,True,RETORNO INDUSTRIAL ALTO RESIDUAL,Clasificacion comercial de chatarra,580,True,2026-03-20T02:45:10.051454+00:00
True,True,True,classified_stock,BOTE_DE_ALUMINIO,2026-03-20T16:10:03.7706+00:00,other,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,ae94bd31-f321-449b-9dc5-fc021307423a,True,BOTE DE ALUMINIO,,100,True,2026-03-20T16:10:03.7706+00:00
True,True,True,classified_stock,ACERO_CHATARRA,2026-03-20T16:21:11.728248+00:00,other,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,f51adf9d-1e04-4b45-a996-74b217b499fa,True,ACERO CHATARRA,,100,True,2026-03-20T16:21:11.728248+00:00
True,True,True,classified_stock,RACKS,2026-03-20T16:22:27.849135+00:00,other,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,261d3133-a8aa-4466-9e39-008f8fbe0386,True,RACKS,,100,True,2026-03-20T16:22:27.849135+00:00
True,True,True,classified_stock,RIGIDO,2026-03-20T16:32:43.387209+00:00,other,BOTH,6a15cf8a-9064-49a4-8795-946591fee553,1e1f9dce-db72-4390-b6f4-fa249c4caa2a,True,RIGIDO,,100,True,2026-03-20T16:32:43.387209+00:00
True,True,True,classified_stock,METAL_GENERAL,2026-03-20T16:34:35.086891+00:00,other,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,3e265cbb-835e-4164-8dc4-367758565aa1,True,METAL GENERAL,,100,True,2026-03-20T16:34:35.086891+00:00
True,True,True,classified_stock,BOND,2026-03-20T22:01:43.730704+00:00,other,BOTH,97e156d5-3719-4083-885c-e6a25af94015,4da083ff-fdc4-417a-8437-941bd54166c5,True,BOND,,100,True,2026-03-20T22:01:43.730704+00:00
True,True,True,classified_stock,MADERA_PIEZA,2026-03-23T15:55:00.349727+00:00,other,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,70dbb8a3-877f-44b0-bda5-e5e2e30268ce,True,MADERA PIEZA,,100,True,2026-03-23T15:55:00.349727+00:00
True,True,True,classified_stock,CAJA_CARTOR,2026-03-23T15:47:54.050613+00:00,other,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,a259e506-5392-44ba-906a-fa445e4d7d1c,True,CAJA CARTON,,100,True,2026-03-23T20:30:27.62188+00:00
True,False,False,general_input,REVUELTO,2026-03-13T19:39:38.720229+00:00,fiber,IN,97e156d5-3719-4083-885c-e6a25af94015,252db7e0-510d-4c93-9a4c-0a0c95a8289a,True,REVUELTO,Entrada comercial que suma a PAPEL,600,False,2026-04-02T16:55:06.878879+00:00
True,True,True,classified_stock,PIEZA_MADERA,2026-03-23T15:51:21.405448+00:00,other,BOTH,ecc6f380-5996-43ba-87b1-d751882974d8,8905e0f6-2007-4234-8be8-e09471c0ae25,True,PIEZA MADERA,,100,True,2026-04-02T16:55:07.011631+00:00
False,False,False,legacy_alias,NACIONAL,2026-03-13T19:39:38.720229+00:00,fiber,PRODUCTION_ONLY,88c788cd-06c8-43a9-b429-aba0c440f2f4,5a6124bd-6f61-47e5-a992-94f9cd79b3af,True,NACIONAL,Alias heredado; reemplazar por CARTON_NACIONAL o PACA_NACIONAL segun flujo,350,False,2026-04-02T16:55:07.134253+00:00
True,True,True,classified_stock,GRANEL,2026-03-20T20:33:56.778862+00:00,other,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,04003655-3d88-4314-8af0-949ca8caf81c,True,GRANEL,,100,True,2026-04-02T16:55:07.410254+00:00
